venue	lon	lat	countryCode	place	venueLabel	placeLabel	osm_way	website	address	eventVenueType	eventVenueTypeLabel	osm_node	osm_relation
Q12404507	35.216923	31.767722	IL	Q1218	Hansen House	Jerusalem		http://hansen.co.il/	רח' מרכוס 17	Q1329623	cultural center		
Q124048034	130.40911111111	33.593611111111	JP	Q117705500	Fukuoka City Reisen Public Hall	Kami-kawabatamachi			812-0026福岡市博多区上川端町6番25号	Q1329623	cultural center		
Q124048034	130.40911111111	33.593611111111	JP	Q117705500	Fukuoka City Reisen Public Hall	Kami-kawabatamachi			6-25, Kami-kawabatamachi, Hakata-ku, Fukuoka City 812-0026	Q1329623	cultural center		
Q124049404			RU	Q649	Mutabor	Moscow		https://mutabor.club/		Q1329623	cultural center		
Q12409107	39.29194444	-6.81083333	TZ	Q1960	Julius Nyerere International Convention Centre	Dar es Salaam				Q1378975	convention center		
Q124142981	-72.938111425465	-41.471757301979	CL	Q36214	Casa del Arte Diego Rivera	Puerto Montt				Q1329623	cultural center		
Q124173611	-56.159833333333	-34.924111111111	UY	Q1335	Casona de Punta Carretas	Montevideo				Q1329623	cultural center		
Q124173692	-56.159027777778	-34.923083333333	UY	Q1335	Casa del Centro Comunal de Punta Carretas	Montevideo				Q1329623	cultural center		
Q124212446			RS	Q55630	Student Cultural Center Novi Sad	Novi Sad		https://skcns.org/sr_cyr/	др Илије Ђуричића 3	Q1329623	cultural center		
Q1242145			DE		Lettrétage			https://www.lettretage.de/		Q1329623	cultural center		
Q1242145			DE		Lettrétage			https://www.lettretage.de/en/		Q1329623	cultural center		
Q124247785			RS	Q797036	Home of culture Prijepolje	Prijepolje		https://dkp.rs/sr-yu/	Санџачких бригада бб	Q1329623	cultural center		
Q124248583	-123.70326	48.78312	CA	Q1265347	Cowichan Performing Arts Centre	Duncan			2687 James St, Duncan, BC	Q230752	auditorium		
Q124254388	-48.5498209	-27.5982154	BR	Q132997	Centro Cultural de Florianópolis	Florianópolis			Praça XV de Novembro, 180 - Centro, Florianópolis - SC, 88010-400	Q1329623	cultural center		
Q124255040			MX	Q645293	Atea, Arte	Cuauhtémoc			Topacio 25, piso 1Centro CP 06010, Cuauhtémoc, Ciudad de México	Q1329623	cultural center		
Q124258687	-67.08974	52.79844	CA	Q141605	Salle Aurora	Fermont			50 Le Carrefour, Fermont	Q230752	auditorium		
Q124259071	-68.26021	49.20438	CA	Q139654	Espace Alcoa	Baie-Comeau			1660, rue de Bretagne, Baie-Comeau, Québec,	Q230752	auditorium		
Q124259392	-68.26031	49.20431	CA	Q139654	Salle Théâtre de Baie-Comeau	Baie-Comeau			1660, rue de Bretagne, Baie-Comeau, Québec, G5C 3S3	Q230752	auditorium		
Q124259471	-71.6993	46.75628	CA	Q142313	Salle Lynda-Lemay	Pont-Rouge			1, boul. Notre-Dame, Pont-Rouge, QC	Q230752	auditorium		
Q124289805	-0.9663535807829	51.452376827231	GB	Q21496716	South Street Arts Centre	Reading				Q1329623	cultural center		
Q124290771	-46.52613154997	-23.657524434072	BR	Q191652	House of the Word Mário Quintana	Santo André			Praça do Carmo, 171 , Centro, 09010-020, Santo André, SP	Q1329623	cultural center		
Q124290771	-46.52613154997	-23.657524434072	BR	Q49136416	House of the Word Mário Quintana	Centro			Praça do Carmo, 171 , Centro, 09010-020, Santo André, SP	Q1329623	cultural center		
Q124290831			US	Q27844	The Italian Cultural Center of the Delaware Valley	Delaware County				Q1329623	cultural center		
Q124294186	-72.54272	46.34276	CA	Q44012	Salle Louis-Philippe-Poisson	Trois-Rivières		https://www.culture3r.com/lieux/salle-louis-philippe-poisson/	1425, place de l'Hôtel-de-Ville, C.P. 368, Trois-Rivières, Québec	Q230752	auditorium		
Q124295353	-72.54263	46.34282	CA	Q44012	Maison de la culture de Trois-Rivières	Trois-Rivières			1425, place de l'Hôtel-de-Ville, C.P. 368, Trois-Rivières, Québec	Q1329623	cultural center		
Q124295426	-72.52456	46.3667	CA	Q44012	Espace Pauline-Julien	Trois-Rivières		https://www.culture3r.com/lieux/espace-pauline-julien/	150, rue Fusey, Trois-Rivières, Québec	Q1329623	cultural center		
Q124295548	-72.56744	46.35883	CA	Q44012	Théâtre du Cégep de Trois-Rivières	Trois-Rivières		https://www.culture3r.com/lieux/theatre-cegep-de-trois-rivieres/	3175, boul. Laviolette, Trois-Rivières, Québec	Q230752	auditorium		
Q124313211	-48.551806	-27.5977108	BR	Q132997	House of Santa Catarina Literature Poeta Cruz e Souza	Florianópolis		https://www.cultura.sc.gov.br/espacos/casa-da-literatura-catarinense	Praça XV de Novembro, 270 - Centro, Florianópolis - SC, 88010-400	Q1329623	cultural center		
Q124316965	-2.926750207313	43.256274083147	ES	Q8692	Centro Municipal de San Francisco	Bilbao			Plaza Corazón de María s/n 48003 Bilbao	Q1329623	cultural center		
Q124316965	-2.926750207313	43.256274083147	ES	Q8692	Centro Municipal de San Francisco	Bilbao			Mariaren Bihotza Plaza, s/n, Ibaiondo, 48003 Bilbo, Bizkaia	Q1329623	cultural center		
Q124317236	-2.9276264187112	43.256446859998	ES	Q8692	Sarean	Bilbao		https://sarean.info/?lang=eu	Mariaren Bihotza Plaza, 4, Ibaiondo, Bilbo, Bizkaia	Q1329623	cultural center		
Q124317236	-2.9276264187112	43.256446859998	ES	Q8692	Sarean	Bilbao		https://sarean.info/?lang=eu	Plaza Corazón de María 4, 48003 Bilbao, Vizcaya	Q1329623	cultural center		
Q124317236	-2.9276264187112	43.256446859998	ES	Q8692	Sarean	Bilbao		https://sarean.info/	Plaza Corazón de María 4, 48003 Bilbao, Vizcaya	Q1329623	cultural center		
